"Tag";"UTM_X";"UTM_Y";"Longitude";"Latitude"
"GR1";7152349.141;626230.123;112.495690452756;-38.5945563490739
"GR2";7152343.961;626258.1149;112.495485270958;-38.5945657212119
"GR3";7152354.15;626265.9775;112.495438106457;-38.594502890681
"GR4";7152360.716;626265.4951;112.495447465452;-38.5944663168645
"GR5";7152358.232;626284.9336;112.495305981613;-38.5944665662751
"GR6";7152375.745;626288.6026;112.495295444023;-38.5943655191184
"GR7";7152381.99;626288.6811;112.495300496499;-38.5943303543169
"GR8";7152392.478;626397.2479;112.494532198936;-38.5941947790239
"GR9";7152403.398;626235.7503;112.495698918547;-38.5942473452053
"GR10";7152456.178;626427.414;112.494373385993;-38.5938153710885
"GR11";7152473.787;626422.2877;112.494425943138;-38.5937199924504
"GR12";7152483.931;626487.2661;112.493969597314;-38.5936171034441
"GR13";7152411.278;626531.8395;112.493584954317;-38.5939940914023
